Region,Buyer,Model,Model Year,Supplier,text
Europe,Daimler,Mercedes-Benz E-Class Plug-in Hybrid (Germany),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-Benz GLC (Germany),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Mercedes-Benz GLC Plug-in Hybrid (Germany),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Daimler,Mercedes-Benz GLS (USA),2021,TI Automotive LLC,Brake line
China,Dongfeng Peugeot Citroen,Peugeot 2008 (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.2T)(6DCT)
Europe,DS Automobiles,DS DS 3 Crossback (France),2021,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line bundle assembly
Americas,Fiat,Pulse (Brazil),2021,Flexitech do Brasil Industria e Comercio de Mangueiras de Freios Ltda.,Brake line
ASEAN・India・Korea,Ford,Aspire (India),2021,Hanil Tube India Private Ltd.,Brake line
Americas,Ford,Lincoln Aviator (USA),2021,Martinrea International US Inc.,Brake line
Americas,Ford,Bronco Sport (Mexico),2021,Cooper-Standard Holdings Inc.,Brake hose
ASEAN・India・Korea,Ford,EcoSport (India),2021,Hanil Tube India Private Ltd.,Brake line
Americas,Ford,Edge (Canada),2021,Dayco Products LLC (Division of Mark IV Industries Inc.),Brake booster vacuum hose
ASEAN・India・Korea,Ford,Endeavour (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Ford,Everest (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Americas,Ford,Explorer (USA),2021,Martinrea International US Inc.,Brake line
ASEAN・India・Korea,Ford,Figo (India),2021,Hanil Tube India Private Ltd.,Brake line
ASEAN・India・Korea,Ford,Freestyle (India),2021,Hanil Tube India Private Ltd.,Brake line
Europe,Ford,Kuga (Spain),2021,Continental AG,Brake hose
Europe,Ford,Kuga Hybrid (Spain),2021,Continental AG,Brake hose
Europe,Ford,Kuga Plug-In Hybrid (Spain),2021,Continental AG,Brake hose
ASEAN・India・Korea,Ford,Ranger (Thailand),2021,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
China,GAC Honda,Honda Accord (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5T)(CVT)
China,GAC Honda,Honda Accord Sport Hybrid (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(2.0L)(E-CVT)
China,GAC Honda,Honda Avancier (4WD) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(2.0T)(9AT)
China,GAC Honda,Honda Avancier (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(2.0T)(9AT)
China,GAC Honda,Honda Avancier (FF) (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5T)(CVT)
China,GAC Honda,Honda Breeze Sport Turbo (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5T)(6MT)
China,GAC Honda,Honda Breeze Sport Turbo (China),2021,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5T)(CVT)
